Vespertilionidae Plecotus Plecotus austriacus 6.75
Vespertilionidae Plecotus Plecotus auritus 8.19
Vespertilionidae Pipistrellus Pipistrellus zuluensis 5.93375
Vespertilionidae Pipistrellus Pipistrellus westralis 5.93375
Vespertilionidae Pipistrellus Pipistrellus wattsi 5.93375
Vespertilionidae Pipistrellus Pipistrellus vordermanni 5.93375
Vespertilionidae Pipistrellus Pipistrellus tenuis 3.48
Vespertilionidae Pipistrellus Pipistrellus tenuipinnis 5.93375
Vespertilionidae Pipistrellus Pipistrellus subflavus 5.74
Vespertilionidae Pipistrellus Pipistrellus sturdeei 5.93375
Vespertilionidae Pipistrellus Pipistrellus stenopterus 15.67
Vespertilionidae Pipistrellus Pipistrellus somalicus 5.93375
Vespertilionidae Pipistrellus Pipistrellus savii 5.93375
Vespertilionidae Pipistrellus Pipistrellus rusticus 4.57
Vespertilionidae Pipistrellus Pipistrellus rueppellii 7.07
Vespertilionidae Pipistrellus Pipistrellus rendalli 5.93375
Vespertilionidae Pipistrellus Pipistrellus raceyi 5.93375
Vespertilionidae Pipistrellus Pipistrellus pygmaeus 5.93375
Vespertilionidae Pipistrellus Pipistrellus pulveratus 5.93375
Vespertilionidae Pipistrellus Pipistrellus pipistrellus 5.3
Vespertilionidae Pipistrellus Pipistrellus permixtus 5.93375
Vespertilionidae Pipistrellus Pipistrellus paterculus 5.93375
Vespertilionidae Pipistrellus Pipistrellus papuanus 5.93375
Vespertilionidae Pipistrellus Pipistrellus nathusii 7.44
Vespertilionidae Pipistrellus Pipistrellus nanus 5.93375
Vespertilionidae Pipistrellus Pipistrellus nanulus 2.51
Vespertilionidae Pipistrellus Pipistrellus musciculus 5.93375
Vespertilionidae Pipistrellus Pipistrellus murrayi 5.93375
Vespertilionidae Pipistrellus Pipistrellus minahassae 5.93375
Vespertilionidae Pipistrellus Pipistrellus melckorum 5.93375
Vespertilionidae Pipistrellus Pipistrellus maderensis 5.93375
Vespertilionidae Pipistrellus Pipistrellus macrotis 5.93375
Vespertilionidae Pipistrellus Pipistrellus lophurus 5.93375
Vespertilionidae Pipistrellus Pipistrellus kuhlii 6.07
Vespertilionidae Pipistrellus Pipistrellus kitcheneri 5.93375
Vespertilionidae Pipistrellus Pipistrellus joffrei 5.93375
Vespertilionidae Pipistrellus Pipistrellus javanicus 4.92
Vespertilionidae Pipistrellus Pipistrellus inexspectatus 5.93375
Vespertilionidae Pipistrellus Pipistrellus imbricatus 5.93375
Vespertilionidae Pipistrellus Pipistrellus hesperus 3.56
Vespertilionidae Pipistrellus Pipistrellus hesperidus 5.93375
Vespertilionidae Pipistrellus Pipistrellus helios 5.93375
Vespertilionidae Pipistrellus Pipistrellus hanaki 5.93375
Vespertilionidae Pipistrellus Pipistrellus guineensis 5.93375
Vespertilionidae Pipistrellus Pipistrellus flavescens 5.93375
Vespertilionidae Pipistrellus Pipistrellus endoi 5.93375
Vespertilionidae Pipistrellus Pipistrellus eisentrauti 5.93375
Vespertilionidae Pipistrellus Pipistrellus deserti 5.93375
Vespertilionidae Pipistrellus Pipistrellus crassulus 5.93375
Vespertilionidae Pipistrellus Pipistrellus coromandra 4.59
Vespertilionidae Pipistrellus Pipistrellus collinus 6.75
Vespertilionidae Pipistrellus Pipistrellus ceylonicus 8.05
Vespertilionidae Pipistrellus Pipistrellus capensis 5.93375
Vespertilionidae Pipistrellus Pipistrellus cadornae 5.93375
Vespertilionidae Pipistrellus Pipistrellus brunneus 5.93375
Vespertilionidae Pipistrellus Pipistrellus ariel 5.93375
Vespertilionidae Pipistrellus Pipistrellus arabicus 5.93375
Vespertilionidae Pipistrellus Pipistrellus anthonyi 5.93375
Vespertilionidae Pipistrellus Pipistrellus angulatus 3.35
Vespertilionidae Pipistrellus Pipistrellus anchietae 5.93375
Vespertilionidae Pipistrellus Pipistrellus alaschanicus 5.93375
Vespertilionidae Pipistrellus Pipistrellus aero 5.93375
Vespertilionidae Pipistrellus Pipistrellus adamsi 5.93375
Vespertilionidae Pipistrellus Pipistrellus abramus 5.87
Vespertilionidae Phoniscus Phoniscus papuensis 6.32
Vespertilionidae Phoniscus Phoniscus jagorii 4.7
Vespertilionidae Phoniscus Phoniscus atrox 4.81
Vespertilionidae Phoniscus Phoniscus aerosa 5.2766666667
Vespertilionidae Philetor Philetor brachypterus 12
Vespertilionidae Pharotis Pharotis imogene 10.1789238322
Vespertilionidae Otonycteris Otonycteris hemprichii 21.98
Vespertilionidae Nyctophilus Nyctophilus walkeri 4.44
Vespertilionidae Nyctophilus Nyctophilus timoriensis 11.02
Vespertilionidae Nyctophilus Nyctophilus sherrini 8.465
Vespertilionidae Nyctophilus Nyctophilus nebulosus 8.465
Vespertilionidae Nyctophilus Nyctophilus microtis 7.29
Vespertilionidae Nyctophilus Nyctophilus microdon 8.465
Vespertilionidae Nyctophilus Nyctophilus howensis 8.465
Vespertilionidae Nyctophilus Nyctophilus heran 8.465
Vespertilionidae Nyctophilus Nyctophilus gouldi 11.32
Vespertilionidae Nyctophilus Nyctophilus geoffroyi 8.465
Vespertilionidae Nyctophilus Nyctophilus bifax 9.89
Vespertilionidae Nyctophilus Nyctophilus arnhemensis 6.83
Vespertilionidae Nycticeius Nycticeius humeralis 9.12
Vespertilionidae Nycticeius Nycticeius cubanus 9.12
Vespertilionidae Nycticeius Nycticeius aenobarbus 9.12
Vespertilionidae Nycticeinops Nycticeinops schlieffeni 5.05
Vespertilionidae Nyctalus Nyctalus plancyi 28.9766666667
Vespertilionidae Nyctalus Nyctalus noctula 28.48
Vespertilionidae Nyctalus Nyctalus montanus 28.9766666667
Vespertilionidae Nyctalus Nyctalus leisleri 12.47
Vespertilionidae Nyctalus Nyctalus lasiopterus 45.98
Vespertilionidae Nyctalus Nyctalus furvus 28.9766666667
Vespertilionidae Nyctalus Nyctalus azoreum 28.9766666667
Vespertilionidae Nyctalus Nyctalus aviator 28.9766666667
Vespertilionidae Myotis Myotis yumanensis 5.15
Vespertilionidae Myotis Myotis yanbarensis 9.5971698113
Vespertilionidae Myotis Myotis welwitschii 15.88
Vespertilionidae Myotis Myotis volans 8.71
Vespertilionidae Myotis Myotis vivesi 25.63
Vespertilionidae Myotis Myotis velifer 9.82
Vespertilionidae Myotis Myotis tricolor 13.67
Vespertilionidae Myotis Myotis thysanodes 8.49
Vespertilionidae Myotis Myotis stalkeri 9.5971698113
Vespertilionidae Myotis Myotis sodalis 7.15
Vespertilionidae Myotis Myotis simus 9.5971698113
Vespertilionidae Myotis Myotis siligorensis 2.93
Vespertilionidae Myotis Myotis sicarius 9.5971698113
Vespertilionidae Myotis Myotis septentrionalis 9.5971698113
Vespertilionidae Myotis Myotis scotti 9.5971698113
Vespertilionidae Myotis Myotis schaubi 9.5971698113
