age;plot;genus;species;spcode;Abund.n;biomass;basal.area;SLA;LDMC;LPC;CN;d15N;d13C;plot total abund;total plot biomass;total plot basal area
15;4;Rehdera;trinervis;rehtri;21;7.178.883.344;2.910.915;7.210.854.995;0.458132205;0.071150557;2.176.696.025;114.109.479;-2.771.406.227;230;1.720.107.959;6.212.532.375
15;4;Roupala;montana;roumon;2;5.827.037.142;24.609.375;;;;;;;230;1.720.107.959;6.212.532.375
24;5;Acacia;collinsii;acacol;14;3.832.735.184;16.164.225;;;;;;;234;1.048.871.158;294.057.225
24;5;Acosmium;panamense;acopan;2;4.923.791.141;161.091;;;;;;;234;1.048.871.158;294.057.225
24;5;Agonandra;macrocarpa;agomac;1;1.048.466.198;4.921.875;;;;;;;234;1.048.871.158;294.057.225
24;5;Alibertia ;edulis;aliedu;9;2.099.331.087;89.404.875;1.189.277.714;0.410829299;0.056666818;2.725.942.388;2.478.744.493;-3.137.884.384;234;1.048.871.158;294.057.225
24;5;Annona;purpurea;annpur;2;4.877.564.837;20.986.875;;;;;;;234;1.048.871.158;294.057.225
24;5;Annona;reticulata;annret;18;189.724.958;67.345.425;3.157.702;;0.153519;1.260.584.139;;;234;1.048.871.158;294.057.225
24;5;Bauhinia;ungulata;bauung;3;1.190.649.011;4.789.575;3.336.234.154;0.482034919;0.118806527;1.416.902.963;1.602.123.306;-3.130.367.332;234;1.048.871.158;294.057.225
24;5;Bursera;simaruba;bursim;1;3.661.310.935;119.140.875;1.555.543.839;0.297225543;0.136446743;1.918.765.144;-0.076740282;-3.028.958.015;234;1.048.871.158;294.057.225
24;5;Casearia;arguta;casarg;2;3.627.619.523;126;;;;;;;234;1.048.871.158;294.057.225
24;5;Casearia;sylvestris ;cassyl;30;1.094.738.428;4.462.605;135.878.923;0.458332952;0.125167976;1.925.712.303;2.884.079.509;-2.993.444.351;234;1.048.871.158;294.057.225
24;5;Casearia;tremula ;castre;2;5.200.493.679;175.305.375;;;;;;;234;1.048.871.158;294.057.225
24;5;Chomelia;spinosa;chospi;8;1.354.066.136;45.714.375;304;;0.081325;1.435.588.127;;;234;1.048.871.158;294.057.225
24;5;Cochlospermum;vitifolium;cocvit;10;1.707.683.238;44.426.655;1.752.968.425;0.249360991;0.074483002;2.338.010.567;-0.99147953;-2.900.928.169;234;1.048.871.158;294.057.225
24;5;Cordia;panamensis;corpan;5;615.464.275;2.217.285;1.446.944;;0.105568;1.607.364.117;;;234;1.048.871.158;294.057.225
24;5;Genipa;americana;gename;6;3.571.078.221;137.458.125;2.733.054.913;0.292235255;0.160056286;1.790.949.475;251.211.864;-3.179.165.161;234;1.048.871.158;294.057.225
24;5;Hirtella;racemosa;hirrac;20;274.092.299;1.026.892.125;1.337.668.889;;0.065015;2.912.846.883;;;234;1.048.871.158;294.057.225
24;5;Jacquinia;nervosa;jacner;1;6.737.521.595;1.815.919.875;;;;;;;234;1.048.871.158;294.057.225
24;5;Luehea;speciosa;luespe;3;1.244.770.846;5.740.875;2.914.832.135;0.402594282;0.08979319;2.021.650.234;0.669369907;-3.086.390.549;234;1.048.871.158;294.057.225
24;5;Quercus ;oleoides;queoli;46;6.611.678.989;1.713.765.375;7.735.737.136;0.483367382;0.064410414;3.819.671.618;3.168.315.115;-2.884.866.035;234;1.048.871.158;294.057.225
24;5;Randia ; karstenii;rancar;1;5.869.024.613;159.264.315;;;;;;;234;1.048.871.158;294.057.225
24;5;Rehdera;trinervis;rehtri;1;3.888.768.766;15.946.875;;;;;;;234;1.048.871.158;294.057.225
24;5;Semialarium;mexicanum;hemmex;26;107.050.962;311.857.875;1.269.134.459;0.299600997;;;;;234;1.048.871.158;294.057.225
24;5;Spondias ;mombin;spomom;8;3.621.278.459;1.115.415;;;0.113745;18.8;3.4;-30.3;234;1.048.871.158;294.057.225
24;5;Tabebuea;rosea;tabros;1;6.587.932.523;25.585.875;;;;;;;234;1.048.871.158;294.057.225
24;5;Tetracera;volubilis;tetvol;14;3.894.313.563;163.067.625;1.862.528.116;0.284027828;0.098177906;2.145.891.913;-0.402234415;-3.106.882.935;234;1.048.871.158;294.057.225
27;6;Acacia;collinsii;acacol;34;1.787.524.538;681.037.875;;;;;;;154;3.227.482.973;9.708.496.875
27;6;Acosmium;panamense;acopan;1;118.148.837;340.704;;;;;;;154;3.227.482.973;9.708.496.875
27;6;Acrocomia;vinifera;acrvin;1;6.281.273.193;1524.6;;;;;;;154;3.227.482.973;9.708.496.875
27;6;Alibertia ;edulis;aliedu;2;2.745.318.374;738.336.375;1.189.277.714;0.410829299;0.056666818;2.725.942.388;2.478.744.493;-3.137.884.384;154;3.227.482.973;9.708.496.875
27;6;Bauhinia;ungulata;bauung;2;5.946.801.679;2.464.875;3.336.234.154;0.482034919;0.118806527;1.416.902.963;1.602.123.306;-3.130.367.332;154;3.227.482.973;9.708.496.875
27;6;Byrsonima;crassifolia;Byrcra;12;2.054.181.754;704.111.625;1.125.877.982;0.375093158;0.093255023;2.476.768.201;2.060.874.515;-2.907.279.877;154;3.227.482.973;9.708.496.875
27;6;Casearia;nitida;casnit;6;4.066.608.711;152.940.375;1.835.484.068;0.359720147;0.104477478;2.019.702.831;-0.21282308;-3.080.241.852;154;3.227.482.973;9.708.496.875
27;6;Cedrela;odorata;cedodo;1;3.465.152.822;113.4;;;;;;;154;3.227.482.973;9.708.496.875
27;6;Chomelia;spinosa;chospi;9;1.596.687.862;53.857.125;304;;0.081325;;;;154;3.227.482.973;9.708.496.875
27;6;Cochlospermum;vitifolium;cocvit;1;4.656.237.014;147.805.875;1.752.968.425;0.249360991;0.074483002;2.338.010.567;-0.99147953;-2.900.928.169;154;3.227.482.973;9.708.496.875
27;6;Cordia;guanacastensis ;corgua;23;8.566.835.744;345.011.625;1.835.879.481;0.263956554;0.101045452;1.696.326.869;0.142188721;-305.516.787;154;3.227.482.973;9.708.496.875
27;6;Cornutia;grandifolia;corgra;10;3.865.815.678;14.926.275;1.694.163;;0.213019;;;;154;3.227.482.973;9.708.496.875
27;6;Crescentia;alata;creala;7;6.844.179.097;177.144.975;9.377.833.057;0.429582311;0.098789998;2.023.471.448;191.254.174;-2.702.745.728;154;3.227.482.973;9.708.496.875
27;6;Enterolobium;cyclocarpum;entcyc;3;4.476.699.692;176.652;1.833.333;;0.205832;;;;154;3.227.482.973;9.708.496.875
27;6;Guazuma;ulmifolia;guaulm;40;5.326.057.122;187.845.525;1.234.493.489;0.404943663;0.107177005;1.905.188.302;1.879.844.658;-2.999.211.029;154;3.227.482.973;9.708.496.875
27;6;Samanea ;saman;samsam;1;1.478.431.777;4.165.875;;;;;;;154;3.227.482.973;9.708.496.875
27;6;Trichilia;trifolia;tritri;1;1.048.466.198;4.921.875;2.483.663.558;0.297703367;0.172061679;1.902.634.415;-0.183657186;-2.971.999.817;154;3.227.482.973;9.708.496.875
30;7;Acacia;collinsii;acacol;10;3.341.471.834;912.247.875;;;;;;;237;1.842.941.726;43814.61
30;7;Acosmium;panamense;acopan;1;4.284.759.371;17.395.875;;;;;;;237;1.842.941.726;43814.61
30;7;Agonandra;macrocarpa;agomac;14;903.942.755;2.598.246;7.536.313;;0.422022;7.395.088.716;;;237;1.842.941.726;43814.61
30;7;Alibertia ;edulis;aliedu;7;2.453.117.867;95.641.875;1.189.277.714;0.410829299;0.056666818;2.725.942.388;2.478.744.493;-3.137.884.384;237;1.842.941.726;43814.61
