plot;genus;species;spcode;Abund.n;SLA
8;Malvaviscus;arboreus;malarb;9;2.549.201.871
8;Piper;;piper;4;
8;Simarouba;glauca;simgla;3;7.069.583.284
8;Thouinidium;decandrum;thodec;3;
9;Acacia;collinsii;acacol;9;
9;Alibertia ;edulis;aliedu;5;1.199.696.862
9;Bauhinia;ungulata;bauung;4;3.336.234.154
9;Bursera;simaruba;bursim;2;1.555.543.839
9;Calycophyllum;candidissimum;calcan;9;2.161.731.376
9;Capparis ;frondosa;capfro;7;7.612.251.311
9;Casearia;nitida;casnit;23;2.262.130.154
9;Ceiba;pentandra;ceipan;1;
9;Chomelia;spinosa;chospi;1;
9;Genipa;americana;gename;6;2.733.054.913
9;Guazuma;ulmifolia;guaulm;31;162.393.533
9;Hymenaea;courbaril;hymcou;1;
9;Maclura;tinctoria;mactin;1;3.184.322.556
9;Malpighia;glabra;malgla;1;
9;Malvaviscus;arboreus;malarb;9;2.023.426.031
9;Pisonia;macranthocarpa;pismac;8;
9;Randia;subcordata;ransub;5;2.779.335.328
9;Semialarium;mexicanum;hemmex;17;
9;Spondias ;mombin;spomom;8;
9;Stemmadenia;obovata;steobo;1;185.881
9;Tabebuea;rosea;tabros;1;
9;Tetracera;volubilis;tetvol;2;2.169.031.845
9;Thouinidium;decandrum;thodec;1;
10;Acacia;collinsii;acacol;1;
10;Acosmium;panamense;acopan;2;2.970.769
10;Alibertia ;edulis;aliedu;2;1.265.703.198
10;Allophyllusc;occidentalisc;allocc;7;2.099.437.764
10;Annona;purpurea ;annpur;1;3.639.125.683
10;Annona;reticulata;annret;9;3.157.702
10;Piper;;piper;2;
10;Tetracera;volubilis;tetvol;12;2.140.071.948
10;Tabebuea;ochracea;taboch;39;2.504.885.737
10;Brosimum ;alicastrum;broali;2;9.467.005
10;Bursera;simaruba;bursim;2;1.369.189
10;Casearia;nitida;casnit;2;1.828.060.425
10;Casearia;sylvestris ;cassyl;25;1.870.259.948
10;Cecropia;peltata;cecpel;1;
10;Chomelia;spinosa;chospi;1;
10;Cordia;panamensis;corpan;16;1.446.944
10;Cupania;guatemalensis;cupgua;8;1.607.786.836
10;Enterolobium;cyclocarpum;entcyc;2;
10;Guettarda;macrosperma ;guamac;2;
10;Guazuma;ulmifolia;guaulm;3;
10;Hirtella;racemosa;hirrac;1;
10;Hymenaea;courbaril;hymcou;13;1.447.412.089
10;Inga;vera;ingver;2;
10;Jacquinia;nervosa;jacner;1;
10;Luehea;speciosa;luespe;39;2.366.249.694
10;Lonchocarpus ;rugosus;lonrug;1;
10;Maclura;tinctoria;mactin;2;
10;Malvaviscus;arboreus;malarb;15;2.303.860.938
10;Manilkara;chicle;manchi;5;1.135.299.585
10;Miconia;argentea ;micarg;6;1.114.554.721
10;Ocotea;veraguensis;ocover;2;1.588.780.528
10;Pseudobombax;;pseudobom;2;
10;Randia;subcordata;ransub;2;
10;Samanea ;saman;samsam;1;
10;Simarouba;glauca;simgla;7;1.039.894.771
10;Spondias ;mombin;spomom;10;
11;Acacia;collinsii;acacol;2;
11;Allophyllusc;occidentalisc;allocc;7;2.099.437.764
11;Annona;purpurea ;annpur;1;
11;Calycophyllum;candidissimum;calcan;22;2.161.731.376
11;Capparis ;frondosa;capfro;3;1.041.500.039
11;Casearia;sylvestris ;cassyl;7;1.486.239.424
11;Chomelia;spinosa;chospi;1;
11;Coccoloba ;guanacastensis;cocgua;1;1.084.407.232
11;Cochlospermum;vitifolium;cocvit;1;
11;Cornutia;;cornutia;1;
11;Cordia;panamensis;corpan;1;
11;Cupania;guatemalensis;cupgua;1;155.248.108
11;Genipa;americana;gename;1;2.208.000.805
11;Guettarda;macrosperma ;guamac;1;
11;Guazuma;ulmifolia;guaulm;2;
11;Hirtella;racemosa;hirrac;26;2.157.884.714
11;Hymenaea;courbaril;hymcou;3;1.447.412.089
11;Inga;vera;ingver;1;
11;Lonchocarpus ;rugosus;lonrug;1;
11;Luehea;speciosa;luespe;8;279.188.689
11;Malvaviscus;arboreus;malarb;5;2.438.790.539
11;Manilkara;chicle;manchi;3;1.135.299.585
11;Mouriri;myrtilloides;moumyr;1;
11;Picramnia ;quaternaria;picqua;4;1.775.343.834
11;Pithecellobium;dulce;pitdul;13;
11;Randia;thurberi;ranthu;1;
11;Bursera;simaruba;bursim;1;
11;Sebastiania ;pavoniana;sebpav;1;1.713.781.772
11;Sideroxylon ;capiri;sidcap;1;13.874.375
11;Stemmadenia;obovata;steobo;4;185.881
11;Swartzia ;cubensis;swacub;9;2.175.243
11;Tabebuea;ochracea;taboch;2;2.504.885.737
11;Tetracera;volubilis;tetvol;16;25.831.863
11;Zanthoxylum;setulosum;zanset;2;1.626.042
12;Acacia;collinsii;acacol;1;
12;Albizzia;adinocephala;albadi;1;
12;Alibertia ;edulis;aliedu;1;1.265.703.198
12;Allophyllusc;occidentalisc;allocc;1;2.099.437.764
12;Astronium;graveolens ;astgra;16;2.358.768
12;Ateleia;herbert-smithii;ateher;7;1.293.277
12;Bursera;simaruba;bursim;15;2.033.617.275
12;Calycophyllum;candidissimum;calcan;27;91.55
12;Capparis ;indica;capind;15;4.336.054
12;Chomelia;spinosa;chospi;9;304
12;Cochlospermum;vitifolium;cocvit;5;58.55
12;Cordia;panamensis;corpan;5;1.446.944
12;Coursetia ;elliptica;coursetia elliptica;26;244
12;Erythroxylon;havanense;eryhav;5;
12;Exostema;mexicanum;exomex;28;37.4
12;Genipa;americana;gename;2;
12;Guazuma;ulmifolia;guaulm;1;40.9
12;Guettarda;macrosperma ;guamac;4;
12;Jacquinia;nervosa;jacner;12;
12;Krugiodendron ;ferreum;krufer;2;
12;Lonchocarpus ;;loncho;3;
12;Luehea;speciosa;luespe;8;264.017.384
12;Machaerium;biovulatum;macbio;7;
12;Manilkara;chicle;manchi;1;150.25
12;Myrospermum ;frutescens;myrfru;8;
12;Pisonia;macranthocarpa;pismac;10;
12;Pseudobombax;;pseudobom;1;
12;Randia;subcordata;ransub;20;2.224.347.691
12;Randia ; karstenii;rancar;1;
12;Sapranthus;palanga;sappal;12;259.577.195
12;Semialarium;mexicanum;hemmex;16;1.387.280.809
12;Simarouba;glauca;simgla;1;
12;Spondias ;mombin;spomom;1;
12;Stemmadenia;obovata;steobo;6;3.651.515.152
12;Tabebuea;ochracea;taboch;7;2.543.525.155
12;Ficus;;fig;1;
12;Tetracera;volubilis;tetvol;1;25.831.863
12;Randia;monantha;;2;
13;Acacia;collinsii;acacol;1;
13;Astronium;graveolens ;astgra;2;278.8
13;Tabebuea;ochracea;taboch;3;2.543.525.155
13;Brosimum ;alicastrum;broali;7;157.3
13;Calycophyllum;candidissimum;calcan;2;
13;Casearia;sylvestris ;cassyl;2;2.148.703.296
13;Cecropia;peltata;cecpel;2;
13;Chomelia;spinosa;chospi;1;
13;Dipterodendron;costaricensis;dipcos;4;132.2
13;Enterolobium;cyclocarpum;entcyc;1;
13;Faramea;occidentalis;farocc;2;1.561.166.716
13;Guettarda;macrosperma ;guamac;2;
13;Hirtella;racemosa;hirrac;43;1.201.208.333
13;Hymenaea;courbaril;hymcou;2;
13;Luehea;speciosa;luespe;2;264.017.384
13;Malpighia;glabra;malgla;47;1.420.524.804
13;Manilkara;chicle;manchi;8;1.153.816.821
13;Mouriri;myrtilloides;moumyr;45;1.595.499.608
13;Ocotea;veraguensis;ocover;1;2.251.949.495
13;Picramnia ;quaternaria;picqua;9;195.714.597
13;Randia;subcordata;ransub;2;
13;Sebastiania ;pavoniana;sebpav;10;1.713.781.772
13;Sloanea;terniflora;sloter;3;1.271.876.228
13;Ficus;;stranfig;13;
13;Tetracera;volubilis;tetvol;29;3.079.108.931
14;Alibertia ;edulis;aliedu;3;1.303.512.675
14;Annona;purpurea ;annpur;1;3.639.125.683
14;Brosimum ;alicastrum;broali;21;1.764.540.959
14;Bursera;simaruba;bursim;1;2.033.617.275
14;Calycophyllum;candidissimum;calcan;5;3.551.358.465
14;Castilla ;elastica;casela;5;1.647.466.283
14;Coccoloba ;guanacastensis;cocgua;21;1.514.405.143
14;Cordia;panamensis;corpan;1;2.910.913.978
14;Cupania;guatemalensis;cupgua;3;1.830.742.424
14;Guettarda;macrosperma ;guamac;2;369.6
14;Hymenaea;courbaril;hymcou;5;120.9
14;Ixora;floribunda;ixoflo;3;1.270.411.646
14;Malpighia;glabra;malgla;12;1.445.693.556
14;Lonchocarpus ;;loncho;1;
14;Manilkara;chicle;manchi;8;1.211.904.983
14;Mouriri;myrtilloides;moumyr;100;1.595.499.608
14;Picramnia ;quaternaria;picqua;12;2.140.532.054
14;Samanea ;saman;samsam;1;
14;Tabebuea;ochracea;taboch;1;2.543.525.155
14;Spondias ;mombin;spomom;2;
14;Ficus;;stranfig;5;
14;Pseudobombax;sudobomb;pseudobom;1;
14;Acosmium;panamense;acopan;3;
14;Tetracera;volubilis;tetvol;5;3.070.473.148
14;Zanthoxylum;setulosum;zanset;1;2.308.944.785
